left,center,right,mask,steering
driving_model/sim_data/RGB\left_00000.png,driving_model/sim_data/RGB\center_00000.png,driving_model/sim_data/RGB\right_00000.png,driving_model/sim_data/masks\00000.png,-0.007275240961462259
driving_model/sim_data/RGB\left_00001.png,driving_model/sim_data/RGB\center_00001.png,driving_model/sim_data/RGB\right_00001.png,driving_model/sim_data/masks\00001.png,-0.00592057267203927
driving_model/sim_data/RGB\left_00002.png,driving_model/sim_data/RGB\center_00002.png,driving_model/sim_data/RGB\right_00002.png,driving_model/sim_data/masks\00002.png,-0.004843179602175951
driving_model/sim_data/RGB\left_00003.png,driving_model/sim_data/RGB\center_00003.png,driving_model/sim_data/RGB\right_00003.png,driving_model/sim_data/masks\00003.png,-0.003970347810536623
driving_model/sim_data/RGB\left_00004.png,driving_model/sim_data/RGB\center_00004.png,driving_model/sim_data/RGB\right_00004.png,driving_model/sim_data/masks\00004.png,-0.0032611689530313015
driving_model/sim_data/RGB\left_00005.png,driving_model/sim_data/RGB\center_00005.png,driving_model/sim_data/RGB\right_00005.png,driving_model/sim_data/masks\00005.png,-0.0025616257917135954
driving_model/sim_data/RGB\left_00006.png,driving_model/sim_data/RGB\center_00006.png,driving_model/sim_data/RGB\right_00006.png,driving_model/sim_data/masks\00006.png,-0.0021760142408311367
driving_model/sim_data/RGB\left_00007.png,driving_model/sim_data/RGB\center_00007.png,driving_model/sim_data/RGB\right_00007.png,driving_model/sim_data/masks\00007.png,-0.001806518412195146
driving_model/sim_data/RGB\left_00008.png,driving_model/sim_data/RGB\center_00008.png,driving_model/sim_data/RGB\right_00008.png,driving_model/sim_data/masks\00008.png,-0.0014335326850414276
driving_model/sim_data/RGB\left_00009.png,driving_model/sim_data/RGB\center_00009.png,driving_model/sim_data/RGB\right_00009.png,driving_model/sim_data/masks\00009.png,-0.008158355951309204
driving_model/sim_data/RGB\left_00010.png,driving_model/sim_data/RGB\center_00010.png,driving_model/sim_data/RGB\right_00010.png,driving_model/sim_data/masks\00010.png,-0.005515960045158863
driving_model/sim_data/RGB\left_00011.png,driving_model/sim_data/RGB\center_00011.png,driving_model/sim_data/RGB\right_00011.png,driving_model/sim_data/masks\00011.png,-0.004535618703812361
driving_model/sim_data/RGB\left_00012.png,driving_model/sim_data/RGB\center_00012.png,driving_model/sim_data/RGB\right_00012.png,driving_model/sim_data/masks\00012.png,-0.0037262137047946453
