rgb,mask,steering
sim_data/RGB\00000.png,sim_data/masks\00000.png,0.0
sim_data/RGB\00001.png,sim_data/masks\00001.png,0.0006948008667677641
sim_data/RGB\00002.png,sim_data/masks\00002.png,0.0006948008667677641
sim_data/RGB\00003.png,sim_data/masks\00003.png,0.0
sim_data/RGB\00004.png,sim_data/masks\00004.png,0.0
sim_data/RGB\00005.png,sim_data/masks\00005.png,-0.0006155604496598244
sim_data/RGB\00006.png,sim_data/masks\00006.png,-0.0006948008667677641
sim_data/RGB\00007.png,sim_data/masks\00007.png,0.0002485241857357323
sim_data/RGB\00008.png,sim_data/masks\00008.png,0.0
sim_data/RGB\00009.png,sim_data/masks\00009.png,0.0
sim_data/RGB\00010.png,sim_data/masks\00010.png,0.0
sim_data/RGB\00011.png,sim_data/masks\00011.png,0.0
sim_data/RGB\00012.png,sim_data/masks\00012.png,0.0
sim_data/RGB\00013.png,sim_data/masks\00013.png,0.0
sim_data/RGB\00014.png,sim_data/masks\00014.png,0.0
sim_data/RGB\00015.png,sim_data/masks\00015.png,-0.00017573311924934387
sim_data/RGB\00016.png,sim_data/masks\00016.png,0.0
sim_data/RGB\00017.png,sim_data/masks\00017.png,0.0
sim_data/RGB\00018.png,sim_data/masks\00018.png,0.0006155604496598244
sim_data/RGB\00019.png,sim_data/masks\00019.png,-0.00017573311924934387
sim_data/RGB\00020.png,sim_data/masks\00020.png,0.0
sim_data/RGB\00021.png,sim_data/masks\00021.png,0.0
sim_data/RGB\00022.png,sim_data/masks\00022.png,0.0
sim_data/RGB\00023.png,sim_data/masks\00023.png,0.0
sim_data/RGB\00024.png,sim_data/masks\00024.png,0.0
sim_data/RGB\00025.png,sim_data/masks\00025.png,0.0
sim_data/RGB\00026.png,sim_data/masks\00026.png,0.0
sim_data/RGB\00027.png,sim_data/masks\00027.png,0.0
sim_data/RGB\00028.png,sim_data/masks\00028.png,0.0
sim_data/RGB\00029.png,sim_data/masks\00029.png,0.0
sim_data/RGB\00030.png,sim_data/masks\00030.png,0.0
